definition_id,cohort_period,segment_dimension,segment_value,period_index,observed_denominator,retained_users,retention_rate,suppression_status
activation_retention,2025-W05,acquisition_channel,content_marketing,0,1,1,1.0,shown
activation_retention,2025-W04,acquisition_channel,organic_search,0,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,organic_search,0,1,1,1.0,shown
activation_retention,2025-W06,acquisition_channel,organic_search,0,1,1,1.0,shown
activation_retention,2025-W07,acquisition_channel,organic_search,0,1,1,1.0,shown
activation_retention,2025-W08,acquisition_channel,paid_search,0,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,partner_referral,0,1,1,1.0,shown
activation_retention,2025-W02,acquisition_channel,product_led_referral,0,2,2,1.0,shown
activation_retention,2025-W03,acquisition_channel,product_led_referral,0,2,2,1.0,shown
activation_retention,2025-W08,acquisition_channel,product_led_referral,0,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,content_marketing,1,1,1,1.0,shown
activation_retention,2025-W04,acquisition_channel,organic_search,1,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,organic_search,1,1,1,1.0,shown
activation_retention,2025-W06,acquisition_channel,organic_search,1,1,1,1.0,shown
activation_retention,2025-W07,acquisition_channel,organic_search,1,1,1,1.0,shown
activation_retention,2025-W08,acquisition_channel,paid_search,1,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,partner_referral,1,1,1,1.0,shown
activation_retention,2025-W02,acquisition_channel,product_led_referral,1,2,2,1.0,shown
activation_retention,2025-W03,acquisition_channel,product_led_referral,1,2,1,0.5,shown
activation_retention,2025-W08,acquisition_channel,product_led_referral,1,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,content_marketing,2,1,1,1.0,shown
activation_retention,2025-W04,acquisition_channel,organic_search,2,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,organic_search,2,1,1,1.0,shown
activation_retention,2025-W06,acquisition_channel,organic_search,2,1,0,0.0,shown
activation_retention,2025-W07,acquisition_channel,organic_search,2,1,1,1.0,shown
activation_retention,2025-W08,acquisition_channel,paid_search,2,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,partner_referral,2,1,1,1.0,shown
activation_retention,2025-W02,acquisition_channel,product_led_referral,2,2,2,1.0,shown
activation_retention,2025-W03,acquisition_channel,product_led_referral,2,2,1,0.5,shown
activation_retention,2025-W08,acquisition_channel,product_led_referral,2,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,content_marketing,3,1,1,1.0,shown
activation_retention,2025-W04,acquisition_channel,organic_search,3,1,1,1.0,shown
activation_retention,2025-W05,acquisition_channel,organic_search,3,1,0,0.0,shown
activation_retention,2025-W06,acquisition_channel,organic_search,3,1,0,0.0,shown
activation_retention,2025-W07,acquisition_channel,organic_search,3,1,1,1.0,shown
