feature_name,importance,signed_value
search_actions,0.242388,-0.242388
failed_requests,0.242388,-0.242388
automation_actions,0.242388,-0.242388
mrr_at_snapshot,0.224151,-0.224151
region=North America,0.178598,0.178598
marketing_consent=True,0.178598,0.178598
event_delta,0.166608,-0.166608
recommendation_interactions,0.154965,-0.154965
persona=small_team_member,0.154048,0.154048
country=Canada,0.154048,0.154048
collaboration_actions,0.148436,-0.148436
distinct_features_used,0.137934,-0.137934
recent_qualifying_events,0.119582,-0.119582
plan_at_snapshot=starter,0.102027,0.102027
initial_plan=free,0.098188,0.098188
activated_before_snapshot=True,0.098188,0.098188
acquisition_channel=product_led_referral,0.098188,0.098188
qualifying_events_in_lookback,0.09541,-0.09541
recent_sessions,0.089546,-0.089546
days_since_last_qualifying_activity,0.087265,0.087265
sessions_in_lookback,0.081178,-0.081178
historical_active_days,0.081178,-0.081178
active_days_in_lookback,0.081178,-0.081178
active_day_proportion,0.081178,-0.081178
region=Europe,0.08041,-0.08041
plan_at_snapshot=business,0.08041,-0.08041
persona=power_user,0.08041,-0.08041
marketing_consent=False,0.08041,-0.08041
country=United Kingdom,0.08041,-0.08041
paid_before_snapshot=False,0.076572,0.076572
is_team_account=True,0.073638,0.073638
company_size_band=2-10,0.073638,0.073638
error_rate,0.068533,-0.068533
session_delta,0.066275,-0.066275
prior_qualifying_events,0.066182,-0.066182
prior_sessions,0.063268,-0.063268
prior_subscription_changes,0.054955,-0.054955
subscription_status_at_snapshot=unknown,0.052022,0.052022
plan_at_snapshot=unknown,0.052022,0.052022
device_preference=mobile,0.052022,0.052022
billing_cycle_at_snapshot=unknown,0.052022,0.052022
subscription_status_at_snapshot=active,0.046166,0.046166
device_preference=desktop,0.046166,0.046166
average_session_duration_seconds,0.044527,-0.044527
days_on_current_plan,0.03018,-0.03018
task_completion_events,0.028069,0.028069
plan_at_snapshot=free,0.02455,0.02455
persona=casual_explorer,0.02455,0.02455
is_team_account=False,0.02455,0.02455
country=United States,0.02455,0.02455
company_size_band=solo,0.02455,0.02455
billing_cycle_at_snapshot=none,0.02455,0.02455
paid_before_snapshot=True,0.021616,0.021616
billing_cycle_at_snapshot=monthly,0.021616,0.021616
longest_inactivity_gap_days,0.016766,-0.016766
events_per_active_day,0.013894,-0.013894
feature_errors,6e-06,6e-06
feature_usage_errors,0.0,0.0
account_age_days,0.0,0.0
