catalogue_coverage,diversity,evaluated_users,fallback_rate,hit_rate,k,map,model_id,mrr,ndcg,novelty,precision,recall,user_coverage,users_with_no_relevant_holdout
0.125,1.0,3,0.0,0.66667,1,0.66667,global_popularity,0.66667,0.66667,2.34834,0.66667,0.22222,1.0,9
0.25,0.88889,3,0.0,0.66667,3,0.22222,global_popularity,0.66667,0.31285,3.32997,0.22222,0.22222,1.0,9
0.4375,0.6,3,0.08333,1.0,5,0.25555,global_popularity,0.73333,0.39192,3.97198,0.2,0.38889,1.0,9
0.75,0.57897,3,0.35632,1.0,10,0.25555,global_popularity,0.73333,0.39192,4.79611,0.14484,0.38889,1.0,9
0.1875,1.0,3,0.0,0.0,1,0.0,item_item_cf,0.0,0.0,3.82078,0.0,0.0,1.0,9
0.3125,0.69444,3,0.0,0.33333,3,0.05556,item_item_cf,0.11111,0.10219,3.94095,0.11111,0.16667,1.0,9
0.4375,0.6,3,0.08333,1.0,5,0.11111,item_item_cf,0.27778,0.23693,3.97198,0.2,0.38889,1.0,9
0.75,0.57897,3,0.35632,1.0,10,0.11111,item_item_cf,0.27778,0.23693,4.79611,0.14484,0.38889,1.0,9
0.0625,1.0,3,0.0,0.66667,1,0.66667,recent_popularity,0.66667,0.66667,2.80601,0.66667,0.22222,1.0,9
0.25,0.88889,3,0.0,0.66667,3,0.22222,recent_popularity,0.66667,0.31285,3.32997,0.22222,0.22222,1.0,9
0.4375,0.61667,3,0.13333,1.0,5,0.25555,recent_popularity,0.73333,0.39192,3.99402,0.2,0.38889,1.0,9
0.75,0.57897,3,0.4023,1.0,10,0.25555,recent_popularity,0.73333,0.39192,4.79611,0.14484,0.38889,1.0,9
0.1875,1.0,3,0.33333,0.66667,1,0.66667,segment_popularity,0.66667,0.66667,2.44982,0.66667,0.22222,1.0,9
0.3125,0.88889,3,0.22222,0.66667,3,0.22222,segment_popularity,0.66667,0.31285,3.35064,0.22222,0.22222,1.0,9
0.4375,0.6,3,0.23333,1.0,5,0.26389,segment_popularity,0.75,0.40087,3.97198,0.2,0.38889,1.0,9
0.75,0.57897,3,0.45977,1.0,10,0.26389,segment_popularity,0.75,0.40087,4.79611,0.14484,0.38889,1.0,9
