assignment_after_signup,assignment_id,assignment_timestamp,conflicting_variant,contamination_flag,conversion_after_exposure,crossover_flag,duplicate_assignment,exclusion_reason,experiment_id,exposure_after_assignment,integrity_status,user_id,variant
1,syn_asg_fd042b2c2f785857,2025-02-05T13:00:00Z,0,0,1,0,0,,exp_simplified_onboarding,1,valid,syn_usr_fa309c2190c55fe0,simplified
1,syn_asg_9acc7aae8f5953f3,2025-01-12T19:00:00Z,0,0,1,0,0,,exp_template_recommendation,1,valid,syn_usr_a189c3fc005b5895,control
1,syn_asg_020ebfa719f255ac,2025-01-26T21:00:00Z,0,0,1,0,0,,exp_trial_upgrade_prompt,1,valid,syn_usr_a1bcec3d54a554ce,contextual_prompt
1,syn_asg_bb0f13b6476c5741,2025-01-21T21:00:00Z,0,0,1,0,0,,exp_automation_discovery,1,valid,syn_usr_6b45a2f71677558e,control
1,syn_asg_df136080235456a0,2025-01-14T11:00:00Z,0,0,1,0,0,,exp_simplified_onboarding,1,valid,syn_usr_f1d34e54749452e9,control
1,syn_asg_dfd6637f2dd85fc2,2025-01-06T21:00:00Z,0,0,1,0,0,,exp_template_recommendation,1,valid,syn_usr_4b747d727c2858d7,recommended_templates
1,syn_asg_e6c9e147695d53b2,2025-02-16T19:00:00Z,0,0,1,0,0,,exp_trial_upgrade_prompt,1,valid,syn_usr_c935e814cd4f5403,contextual_prompt
1,syn_asg_1784be5865805653,2025-01-11T13:00:00Z,0,0,1,0,0,,exp_automation_discovery,1,valid,syn_usr_f2db4cac919b5015,control
1,syn_asg_5b075a6bcbc85687,2025-02-15T13:00:00Z,0,0,1,0,0,,exp_simplified_onboarding,1,valid,syn_usr_23b69b0599315adc,control
1,syn_asg_5f177d9d67cd57af,2025-02-01T12:00:00Z,0,0,1,0,0,,exp_template_recommendation,1,valid,syn_usr_a90898ffe90a5edb,control
1,syn_asg_fe4bbb50cd145a71,2025-01-29T20:00:00Z,0,0,1,0,0,,exp_trial_upgrade_prompt,1,valid,syn_usr_32b03a893d9b535e,control
1,syn_asg_566bb26cb6595a8c,2025-02-21T14:00:00Z,0,0,1,0,0,,exp_automation_discovery,1,valid,syn_usr_79a11a119a54516c,guided_discovery
